id,created_at,updated_at,first_name,last_name,email,address,city,post_code,email_marketing_status,email_opted_out_date
36,2022-09-20 23:34:59,2023-08-04 09:19:44,Ronald,Rodriguez,ronald.rodriguez@example.com,1163 Smith Point,Vanessatown,84224,opted_in,
37,2020-08-19 09:05:06,2023-08-03 17:59:03,Richard,Nicholson,richard.nicholson@example.com,53597 Guerrero Ranch,North Stephen,01021,opted_out,2023-06-08 18:43:25
38,2020-01-03 02:13:07,2023-08-02 21:34:05,Heather,Cooper,heather.cooper@example.com,7748 Alex Plains,North Coryfort,79697,opted_out,2023-01-22 04:20:03
39,2023-04-21 23:47:23,2023-08-02 08:40:34,John,Murray,john.murray@example.com,37270 Mclean Shore Apt. 335,Thompsonbury,67801,opted_out,2023-07-29 16:26:45
40,2020-06-01 04:44:11,2023-08-03 06:00:34,Samantha,Figueroa,samantha.figueroa@example.com,770 Ellis Inlet,North Cynthiachester,01486,opted_in,
41,2020-05-07 21:18:35,2023-08-03 05:27:03,Stephen,Davidson,stephen.davidson@example.com,53829 Morris Mills Suite 186,Port Johnside,16065,opted_in,
42,2021-06-29 22:26:44,2023-08-02 15:54:30,Jose,Bates,jose.bates@example.com,0612 Deanna Terrace,Crystalhaven,65898,opted_in,
43,2023-07-30 03:58:21,2023-08-01 13:09:45,Samuel,Landry,samuel.landry@example.com,56229 Jared Way,South Thomas,12326,opted_out,2023-02-17 21:49:49
44,2021-01-11 00:15:11,2023-08-01 21:14:26,Tyler,Smith,tyler.smith@example.com,85591 Katherine View Apt. 010,Michaelburgh,27285,opted_out,2023-05-03 03:24:19
45,2021-12-11 08:16:13,2023-08-04 08:02:38,Bryan,Bennett,bryan.bennett@example.com,6083 Kathy Mission Apt. 751,Lesterborough,45958,opted_out,2023-03-28 22:51:26
46,2021-05-11 16:29:45,2023-08-01 10:56:44,Sherry,Mcdaniel,sherry.mcdaniel@example.com,380 Daniel Flat,Cainchester,40662,opted_out,2023-06-22 09:46:28
47,2022-03-12 17:18:44,2023-08-02 18:16:25,Zachary,Miller,zachary.miller@example.com,984 Williams Village Apt. 208,Shannonmouth,22553,opted_in,
48,2022-12-28 03:16:37,2023-08-04 04:31:31,Jessica,Snyder,jessica.snyder@example.com,44548 Alexis Radial,Ericshire,68433,opted_in,
49,2022-11-13 02:13:26,2023-08-04 06:58:09,Jorge,White,jorge.white@example.com,7357 Victoria Island,North Kristyburgh,67933,opted_out,2023-03-19 03:33:18
50,2020-09-19 01:27:10,2023-08-02 12:24:10,Peggy,Chandler,peggy.chandler@example.com,01791 Thomas Lights Apt. 193,Martinborough,99355,opted_in,
51,2020-10-16 04:48:43,2023-08-01 16:44:18,Keith,Frank,keith.frank@example.com,269 Flores River,East Brianmouth,44075,opted_out,2023-07-13 11:04:47
52,2021-06-20 05:08:47,2023-08-03 00:37:02,Lauren,Smith,lauren.smith@example.com,1175 Vargas Pass,West Olivia,24723,opted_in,
53,2021-01-06 11:39:46,2023-08-01 02:50:39,Colin,West,colin.west@example.com,03486 Holt Square Apt. 276,South Jasonmouth,24213,opted_in,
54,2021-07-07 02:42:08,2023-08-02 03:24:38,Amber,Foster,amber.foster@example.com,7940 Tammy Forest,Kimberlyburgh,87066,opted_in,
55,2021-07-09 22:35:25,2023-08-03 23:35:15,Andrea,Turner,andrea.turner@example.com,3092 Gray Crossing Suite 232,Woodland,76817,opted_out,2023-02-01 03:20:32
56,2020-04-06 15:29:30,2023-08-01 08:31:09,Nichole,Rogers,nichole.rogers@example.com,0882 Vazquez Viaduct,Port Cassandra,77086,opted_out,2023-03-26 13:42:04
57,2022-03-28 12:03:32,2023-08-02 10:02:46,Kevin,Chandler,kevin.chandler@example.com,0992 Leslie Centers,North Coreychester,47601,opted_in,
58,2021-06-17 03:48:08,2023-08-03 15:34:16,Ann,Wilson,ann.wilson@example.com,9466 Ann Terrace,North Lori,46924,opted_out,2023-05-11 13:34:38
59,2020-03-02 09:24:21,2023-08-02 07:11:04,Alexander,Roberts,alexander.roberts@example.com,458 Castillo Underpass,Rogerhaven,04049,opted_out,2023-01-24 06:52:41
60,2022-02-26 02:16:04,2023-08-02 23:35:38,Anthony,Collins,anthony.collins@example.com,359 Thompson Ways,North Susan,93286,opted_in,
61,2021-01-16 19:22:42,2023-08-01 17:55:05,Martin,Fuller,martin.fuller@example.com,569 Mario Flats Apt. 555,East Jonathan,84829,opted_out,2023-01-19 05:21:29
62,2020-10-12 02:01:01,2023-08-03 15:52:18,William,Green,william.green@example.com,7001 Nicole Manor,Jessicaburgh,97682,opted_in,
63,2020-06-14 16:19:33,2023-08-03 23:42:10,Natalie,Franklin,natalie.franklin@example.com,1545 Dylan Trail Suite 911,Port Jeffreytown,03599,opted_in,
64,2022-10-17 04:47:03,2023-08-02 11:47:10,Jennifer,Ryan,jennifer.ryan@example.com,8978 Frazier Tunnel Apt. 965,Yuhaven,25716,opted_out,2023-03-14 00:41:24
65,2022-09-02 22:47:31,2023-08-01 04:13:37,Michael,Stein,michael.stein@example.com,759 Heather Roads Apt. 201,South Caitlinshire,26465,opted_in,
66,2021-04-21 07:26:11,2023-08-03 23:32:59,Ronald,Lynn,ronald.lynn@example.com,5024 Vazquez Point,Darrellhaven,67185,opted_out,2023-07-11 05:53:33
67,2020-07-26 00:43:47,2023-08-01 14:34:29,Stephanie,French,stephanie.french@example.com,79074 Reed Station,Michaelchester,27601,opted_out,2023-01-18 00:40:19
68,2023-05-07 13:25:50,2023-08-01 01:33:54,Teresa,Torres,teresa.torres@example.com,0568 Reed Extensions,East Thomasmouth,82677,opted_out,2023-04-21 13:08:59
69,2021-09-27 17:53:26,2023-08-04 09:52:21,Dustin,Saunders,dustin.saunders@example.com,8397 Mark Key,Davismouth,84005,opted_in,
70,2022-12-20 04:00:33,2023-08-04 13:22:22,Robin,Marshall,robin.marshall@example.com,519 Ramos Junctions Apt. 010,Jesustown,24678,opted_in,
71,2021-04-09 12:55:18,2023-08-02 14:13:31,Taylor,Guzman,taylor.guzman@example.com,6838 Villanueva Run,Port Crystal,28600,opted_in,
72,2023-01-31 21:52:35,2023-08-02 16:44:04,Vicki,Bray,vicki.bray@example.com,597 Travis Dale,Port Susanbury,83337,opted_in,
73,2021-11-14 06:14:51,2023-08-02 00:09:18,Alejandro,Wallace,alejandro.wallace@example.com,2007 Jeffrey Ports,East Douglas,13547,opted_in,
74,2020-05-10 22:35:01,2023-08-04 03:30:56,Wayne,Sims,wayne.sims@example.com,389 Thompson Forks,Jonesburgh,06686,opted_out,2023-04-20 08:01:13
75,2021-09-26 21:16:09,2023-08-01 20:12:28,Kimberly,Simmons,kimberly.simmons@example.com,870 Johnson Key,Port Scottville,83748,opted_out,2023-07-06 18:21:01
76,2022-10-18 04:24:52,2023-08-03 20:14:03,Kyle,Taylor,kyle.taylor@example.com,8242 Brandon Coves Suite 532,Shieldsburgh,29543,opted_in,
77,2021-11-16 08:20:01,2023-08-03 13:17:01,Robert,Thompson,robert.thompson@example.com,5492 Michele Estates Apt. 485,Lake Frankfurt,28466,opted_in,
78,2021-02-05 17:46:23,2023-08-01 11:24:14,Brenda,Villanueva,brenda.villanueva@example.com,4506 Jason Ports Suite 821,New Sabrina,63855,opted_out,2023-04-18 19:06:49
79,2020-12-06 03:39:47,2023-08-03 03:50:24,Judy,Clark,judy.clark@example.com,369 Peck Stream,West Josephbury,86604,opted_in,
80,2022-10-27 14:17:37,2023-08-01 11:53:52,David,Carter,david.carter@example.com,584 Angela Springs,Johnside,18294,opted_in,
81,2021-11-30 23:20:09,2023-08-02 19:40:12,Mario,Cook,mario.cook@example.com,077 Ayala Fall,Josehaven,79195,opted_out,2023-05-24 14:37:29
82,2022-05-31 21:21:45,2023-08-03 22:21:31,Victoria,Klein,victoria.klein@example.com,56594 Marcus Court Suite 879,Zacharyborough,99223,opted_in,
83,2022-04-22 14:13:10,2023-08-02 07:53:13,Donna,Lawson,donna.lawson@example.com,297 Meadows Place,South Isaiahview,94183,opted_in,
84,2020-05-06 07:08:22,2023-08-01 19:32:26,Jeffrey,Carpenter,jeffrey.carpenter@example.com,13427 Zimmerman Trail,Virginiaborough,08326,opted_in,
85,2022-05-22 01:37:58,2023-08-01 09:00:42,Donald,Cherry,donald.cherry@example.com,0930 Bryan Course Apt. 287,Sarahville,48805,opted_in,
86,2020-04-27 05:49:10,2023-08-04 07:02:25,Kayla,Mccormick,kayla.mccormick@example.com,5188 Alvarez Inlet Apt. 806,East Tammytown,77793,opted_in,
87,2023-04-29 17:35:49,2023-08-04 08:30:57,Mary,Edwards,mary.edwards@example.com,3553 Lisa Points Suite 730,Watkinsborough,69096,opted_in,
88,2020-04-20 19:45:47,2023-08-03 22:37:48,Julie,Gonzales,julie.gonzales@example.com,329 Kathleen Brooks Apt. 916,West Davidberg,33876,opted_in,
89,2023-01-05 23:25:43,2023-08-02 05:22:59,Jamie,Henry,jamie.henry@example.com,0766 Brooks Row,Williamview,00913,opted_out,2023-07-15 06:34:44
90,2021-09-11 22:09:13,2023-08-02 04:47:52,Joshua,Solis,joshua.solis@example.com,800 Christine Wall,Mitchellbury,98972,opted_in,
91,2022-08-15 06:05:28,2023-08-02 02:58:38,Eddie,Chavez,eddie.chavez@example.com,1931 Karen Viaduct,South Jeremyside,19603,opted_in,
92,2021-04-04 17:52:22,2023-08-02 14:12:06,Sharon,Rivera,sharon.rivera@example.com,1532 Daniel Flats,Jamesport,10954,opted_out,2023-04-22 06:14:23
93,2021-05-17 13:40:05,2023-08-01 09:07:39,Stacy,Whitehead,stacy.whitehead@example.com,487 Stuart Centers,Owensberg,78837,opted_out,2023-06-02 15:40:19
94,2023-03-24 05:56:29,2023-08-03 09:57:45,Sonia,Gomez,sonia.gomez@example.com,0897 Nicholas Views,Miguelside,44007,opted_in,
95,2021-01-27 00:13:50,2023-08-02 10:57:10,Justin,Smith,justin.smith@example.com,218 Jones Bridge Suite 637,New Danielmouth,43732,opted_in,
96,2022-02-25 19:47:01,2023-08-01 07:13:01,Natalie,Torres,natalie.torres@example.com,5396 Foster Throughway Apt. 804,East Kirkstad,18194,opted_out,2023-05-15 06:11:48
97,2022-11-01 18:25:14,2023-08-03 05:25:01,Nicole,Martin,nicole.martin@example.com,71728 Samantha Mountain Apt. 902,East Ralphton,02518,opted_out,2023-02-24 19:35:42
98,2022-08-23 06:11:34,2023-08-03 22:31:25,Susan,Houston,susan.houston@example.com,10486 Douglas Curve,Williamsfurt,02383,opted_out,2023-05-03 18:29:22
99,2022-02-06 16:52:52,2023-08-04 14:37:23,Thomas,Martinez,thomas.martinez@example.com,17170 Patel Views Apt. 016,Alisonton,35846,opted_out,2023-07-23 12:51:04
100,2020-05-10 11:25:44,2023-08-03 11:10:00,Douglas,Martinez,douglas.martinez@example.com,36769 Davis Lane Suite 904,West Joseph,49108,opted_out,2023-01-10 09:45:34
101,2023-06-04 20:47:14,2023-08-03 22:08:06,Travis,Anderson,travis.anderson@example.com,678 Charles Inlet,Kevinmouth,74308,opted_in,
102,2020-07-23 02:34:24,2023-08-01 20:39:15,Hunter,Rosales,hunter.rosales@example.com,9766 Amy Corner Suite 651,North Janet,31282,opted_out,2023-03-02 01:56:15
103,2021-08-21 07:04:29,2023-08-03 14:36:13,Matthew,Garcia,matthew.garcia@example.com,1770 Lisa Village,Kimberlytown,56678,opted_out,2023-04-06 03:17:12
104,2021-04-03 06:11:49,2023-08-04 00:59:37,Vincent,Walter,vincent.walter@example.com,903 Vasquez Squares Apt. 618,Billyshire,66015,opted_in,
105,2023-07-10 00:03:01,2023-08-03 05:40:41,Dale,Swanson,dale.swanson@example.com,05588 Todd Bridge,North Helen,89716,opted_out,2023-05-30 03:23:51
106,2020-06-23 20:40:40,2023-08-02 02:31:38,Jodi,Carey,jodi.carey@example.com,57874 John Hills,Valentineland,85749,opted_out,2023-04-27 05:33:19
107,2020-09-18 15:03:50,2023-08-02 22:46:59,Jeanette,Martinez,jeanette.martinez@example.com,89419 Melissa Lakes Suite 642,Melissafort,62265,opted_in,
108,2022-03-04 15:21:45,2023-08-02 21:41:29,Rebecca,Barrett,rebecca.barrett@example.com,62277 Ellis Harbor Apt. 686,New James,19826,opted_in,
109,2021-08-26 06:45:17,2023-08-01 10:21:19,Russell,Shaw,russell.shaw@example.com,022 Michael Fields Apt. 679,Johnsonport,47994,opted_out,2023-06-07 02:15:21
110,2022-12-11 14:22:17,2023-08-01 04:57:05,Francisco,Bradley,francisco.bradley@example.com,9509 Jessica Locks,Moodytown,41346,opted_in,
111,2020-01-01 09:45:16,2023-08-03 16:29:21,Tiffany,Vasquez,tiffany.vasquez@example.com,4260 Michelle Bypass Apt. 288,Port Cynthiamouth,77352,opted_in,
112,2022-08-29 02:30:09,2023-08-02 06:56:13,David,Castro,david.castro@example.com,11331 Kaiser Canyon,Port Wendyborough,97045,opted_in,
113,2020-10-05 19:23:23,2023-08-03 09:11:01,John,Stokes,john.stokes@example.com,88099 Alexander Wells Apt. 966,Powersmouth,36243,opted_in,
114,2023-06-12 19:19:46,2023-08-01 13:22:53,Christopher,Cabrera,christopher.cabrera@example.com,765 Juarez Course,South Lorraineton,56173,opted_in,
115,2020-10-31 16:08:23,2023-08-03 13:02:43,Shawn,Ellison,shawn.ellison@example.com,25060 Matthew Square Suite 731,Palmerton,21997,opted_in,
116,2022-10-27 14:29:44,2023-08-02 22:49:23,Sierra,Lane,sierra.lane@example.com,53864 Mariah Lodge Apt. 428,Lake Brian,06270,opted_out,2023-04-02 23:02:21
117,2020-01-23 19:12:06,2023-08-01 08:52:46,Samantha,Patel,samantha.patel@example.com,3630 Richard Fields Suite 366,Mortonburgh,78582,opted_in,
118,2020-12-16 17:17:22,2023-08-04 12:23:42,Kelsey,Diaz,kelsey.diaz@example.com,6991 Horton Meadow,Maryshire,75318,opted_in,
119,2021-09-09 04:39:53,2023-08-04 06:56:56,Selena,Morris,selena.morris@example.com,35466 Mills Rapids,Crystaltown,30076,opted_out,2023-01-20 01:52:17
120,2023-03-26 18:08:33,2023-08-02 10:17:10,Ronald,Evans,ronald.evans@example.com,8734 Taylor Village,Lake Rachel,19042,opted_in,
121,2020-08-05 06:31:34,2023-08-01 03:31:17,Jennifer,Parker,jennifer.parker@example.com,01677 Allen Parkways,Lake Joshua,97397,opted_out,2023-03-15 20:34:48
122,2021-11-07 08:35:33,2023-08-01 21:02:56,Amanda,Hawkins,amanda.hawkins@example.com,4098 Young Overpass Apt. 521,Seanshire,13488,opted_out,2023-07-23 20:10:15
123,2021-04-28 18:09:52,2023-08-04 09:46:05,John,Chapman,john.chapman@example.com,82301 Garcia Land,East Vickiview,73031,opted_in,
124,2020-03-29 11:34:40,2023-08-01 11:10:58,Patricia,Carroll,patricia.carroll@example.com,9263 Hernandez Alley Apt. 144,Paulberg,03944,opted_in,
125,2022-11-19 02:05:29,2023-08-03 20:12:41,Samantha,Perez,samantha.perez@example.com,141 Mcgee Cove Apt. 537,South Susan,88340,opted_in,
126,2020-08-18 10:07:02,2023-08-02 15:10:15,Misty,Peterson,misty.peterson@example.com,90992 Eddie Meadows,Perkinsfort,43153,opted_out,2023-08-04 07:35:28
127,2021-03-15 14:02:12,2023-08-01 21:38:51,Lisa,Miller,lisa.miller@example.com,79542 Edwards Parkways,Silvabury,69866,opted_in,
128,2022-12-13 23:29:11,2023-08-01 15:27:28,Megan,Cunningham,megan.cunningham@example.com,487 Heath Turnpike Apt. 685,New Meghan,53468,opted_in,
129,2022-03-24 08:28:01,2023-08-02 06:51:39,Justin,Mcconnell,justin.mcconnell@example.com,758 Cathy Trace,North Christianshire,57689,opted_in,
130,2022-12-31 03:59:04,2023-08-02 21:27:00,Sarah,Lawson,sarah.lawson@example.com,204 French Ports Apt. 533,Port Michael,13733,opted_in,
131,2020-02-29 21:46:37,2023-08-03 13:25:48,Kelly,Payne,kelly.payne@example.com,1212 Hannah Landing Suite 288,Anthonymouth,69624,opted_out,2023-06-24 08:56:48
132,2022-05-16 19:29:00,2023-08-04 16:02:56,Stephen,Marshall,stephen.marshall@example.com,83797 Vasquez Parkway Apt. 949,Simmonsland,61784,opted_out,2023-07-07 02:09:42
133,2023-01-26 19:48:16,2023-08-01 17:26:59,Lindsay,Torres,lindsay.torres@example.com,235 Curtis Wells Apt. 939,Kennedychester,66086,opted_out,2023-01-21 16:32:27
134,2021-02-21 07:48:23,2023-08-04 01:11:10,Jasmine,Parks,jasmine.parks@example.com,8979 Megan Vista Suite 145,Lake Susan,30978,opted_out,2023-02-04 13:00:37
135,2021-05-16 15:23:42,2023-08-02 06:21:44,Jeffrey,Jones,jeffrey.jones@example.com,14195 Heather Village,Dannyside,02566,opted_out,2023-07-31 16:25:08
136,2023-05-05 11:01:07,2023-08-03 14:47:15,Alexander,French,alexander.french@example.com,038 Robinson Spur,West Phillipland,79266,opted_in,
137,2021-02-09 03:40:53,2023-08-02 07:37:40,Wesley,Powell,wesley.powell@example.com,6294 Brown Plains Apt. 935,South Hector,59706,opted_out,2023-03-10 03:24:25
138,2022-09-01 06:26:52,2023-08-03 12:01:06,Steven,Coleman,steven.coleman@example.com,613 Gregory Rapids Suite 031,East Pamela,89698,opted_in,
139,2021-09-14 21:11:34,2023-08-01 09:54:32,Raymond,Parker,raymond.parker@example.com,7380 Terry Road,South Elizabeth,33001,opted_out,2023-04-24 09:34:43
140,2023-05-31 22:05:32,2023-08-01 20:43:18,Natalie,Mcdaniel,natalie.mcdaniel@example.com,95456 Amanda Centers Suite 939,North Robert,70945,opted_in,
141,2021-10-30 06:13:09,2023-08-03 11:14:10,Clayton,Carson,clayton.carson@example.com,74653 Matthew Extensions Suite 769,Nathanbury,49632,opted_out,2023-04-16 12:17:07
142,2022-08-25 19:29:08,2023-08-01 02:44:23,Margaret,Keith,margaret.keith@example.com,5099 Michael Run Suite 672,Maryburgh,33742,opted_out,2023-05-09 21:31:36
143,2022-03-24 10:17:38,2023-08-01 21:29:31,Michelle,Malone,michelle.malone@example.com,36816 Henderson Mews,Port Douglas,94236,opted_out,2023-06-24 00:55:35
144,2020-08-28 09:05:05,2023-08-02 06:53:52,Alexis,Mcdonald,alexis.mcdonald@example.com,5418 Pamela Passage,South Markhaven,08503,opted_out,2023-07-26 22:34:06
145,2022-11-24 06:49:00,2023-08-04 04:02:32,Rachel,Horton,rachel.horton@example.com,449 Dawson Flat,Lake Josephmouth,95403,opted_out,2023-04-04 00:13:07
146,2022-03-29 20:23:39,2023-08-03 15:51:34,Steven,Hernandez,steven.hernandez@example.com,255 Alvarez Corners Suite 561,Morrisonmouth,69624,opted_in,
147,2023-02-12 10:36:06,2023-08-03 17:09:47,Claudia,Ross,claudia.ross@example.com,399 Huber Knolls Suite 897,New Robert,30413,opted_in,
148,2023-04-11 05:51:38,2023-08-01 03:34:40,Laura,Bryant,laura.bryant@example.com,56294 Adrienne Islands Suite 945,South Terri,56178,opted_out,2023-02-11 14:10:58
149,2021-03-28 15:39:11,2023-08-02 06:58:23,Bradley,Adkins,bradley.adkins@example.com,7783 Hall Inlet,North Ryanburgh,09614,opted_in,
150,2022-08-04 11:53:44,2023-08-02 15:01:43,Kevin,Gibbs,kevin.gibbs@example.com,575 David Loop Apt. 923,Thompsonfort,96903,opted_in,
151,2021-11-21 10:34:17,2023-08-01 20:26:16,Regina,Morales,regina.morales@example.com,8222 Medina Trace,Smithstad,13755,opted_out,2023-01-10 20:31:31
152,2020-02-12 08:05:05,2023-08-02 06:01:58,Carol,Carroll,carol.carroll@example.com,364 Jacob Ports Suite 871,New Kristaton,89739,opted_out,2023-06-06 15:01:43
153,2023-04-20 09:25:50,2023-08-04 04:56:20,Michael,Mejia,michael.mejia@example.com,04456 Nathan River Suite 524,South Joeltown,65991,opted_in,
154,2023-07-07 09:28:19,2023-08-04 06:40:18,Anthony,Smith,anthony.smith@example.com,149 Bobby Drive,Port Melissa,64818,opted_in,
155,2020-02-04 15:00:48,2023-08-02 21:07:59,Matthew,Collins,matthew.collins@example.com,79044 Joseph Meadows Suite 568,Lake Raymondton,68868,opted_out,2023-05-07 03:05:51
156,2023-03-17 17:24:08,2023-08-04 15:53:27,Melody,King,melody.king@example.com,01794 Austin Ville,Lindaburgh,92795,opted_out,2023-05-25 03:18:34
157,2023-05-15 06:33:26,2023-08-01 11:35:34,Joseph,Mcgee,joseph.mcgee@example.com,224 Wood Road Apt. 536,Herreraland,27353,opted_in,
158,2021-03-31 05:37:57,2023-08-04 09:47:37,John,Medina,john.medina@example.com,794 Myers Course,Port Josephland,94568,opted_out,2023-05-08 04:26:03
159,2020-07-16 20:58:58,2023-08-04 11:04:04,Joanne,Elliott,joanne.elliott@example.com,293 Horne Drive Apt. 356,Davisburgh,40470,opted_in,
160,2020-05-10 12:11:28,2023-08-02 22:42:15,Kimberly,Brown,kimberly.brown@example.com,6927 Linda Rue Suite 213,West Alicia,97419,opted_out,2023-03-02 06:35:46
161,2022-03-26 19:04:58,2023-08-02 20:08:59,Michelle,Stone,michelle.stone@example.com,5083 Dalton Corners Apt. 240,South Frederickfort,72842,opted_out,2023-03-16 20:17:02
162,2022-06-22 16:44:56,2023-08-01 23:52:30,Shannon,Williams,shannon.williams@example.com,74704 Nicholas Pass Suite 387,Karenfurt,15479,opted_out,2023-06-30 15:35:09
163,2023-07-06 14:50:46,2023-08-04 01:42:02,Ashley,Charles,ashley.charles@example.com,00692 Woods Cove,Amandaton,33673,opted_in,
164,2022-11-24 11:15:41,2023-08-02 01:15:19,Brandon,Wilson,brandon.wilson@example.com,0563 Proctor Parks,Danielberg,80209,opted_out,2023-06-11 11:36:48
165,2023-04-24 13:15:56,2023-08-03 14:23:42,Theodore,Byrd,theodore.byrd@example.com,228 Christine Radial Apt. 436,North Brandon,78362,opted_out,2023-01-18 20:59:34
166,2021-12-24 21:00:39,2023-08-01 18:21:16,Donna,Bryant,donna.bryant@example.com,45292 Gonzales Path,New Donaldberg,85403,opted_out,2023-06-04 06:48:00
